source_path,source_anchor,kept/discarded,reason,target_file,target_section
AGENTS.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,AGENT.md — Weed Breed (TypeScript Backend + React/Vite) (AGENTS.md)
CHANGELOG.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,Changelog (CHANGELOG.md)
CONTRIBUTING.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,Contributing to Weed Breed Reboot (CONTRIBUTING.md)
README.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,WeedBreed Reboot (README.md)
WARP.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,WARP.md (WARP.md)
appendices/B_todos_extracted.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,"Extracted TODO, OPEN, NEXT, and Numbered Action Items (appendices/B_todos_extracted.md)"
curated/data-schema.md,Full Document,kept,Retained; thematically categorized,curated/data-schema.md,Data/Schema (curated/data-schema.md)
curated/simulation-loop.md,Full Document,kept,Retained; thematically categorized,curated/simulation-loop.md,Simulation Loop (curated/simulation-loop.md)
curated/ui.md,Full Document,kept,Retained; thematically categorized,curated/ui.md,Ui (curated/ui.md)
curated/vision.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,Vision (curated/vision.md)
docs/CHANGELOG.md,Full Document,kept,Retained; thematically categorized,curated/simulation-loop.md,Documentation Changelog (docs/CHANGELOG.md)
docs/DD.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,Weedbreed.AI — Data Dictionary (DD) (docs/DD.md)
docs/TDD.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,Weedbreed.AI — Technical Design Document (TDD) (docs/TDD.md)
docs/_extraction/formulas.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,Extracted Formulas (docs/_extraction/formulas.md)
docs/_final/01-title-scope.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,Title & Scope [ # Source: docs/vision_scope.md § 1. Vision; docs/backend-overview.md § 1. Purpose & Non-Goals ] (docs/_final/01-title-scope.md)
docs/_final/02-core-principles.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,Core Principles [ # Source: docs/vision_scope.md § 1. Vision; docs/system/simulation_philosophy.md § 1. Time & Simulation Loop: Stability and Fairness; docs/system/simulation_philosophy.md § 2. Environmental Model: Emergent Complexity from Simple Rules; docs/backend-overview.md § 3. Blueprints Provided & How to Use Them ] (docs/_final/02-core-principles.md)
docs/_final/03-domain-model.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,Domain Model [ # Source: docs/vision_scope.md § 4. Canonical Domain Model; docs/DD.md § 1) Strains — `/data/blueprints/strains/*.json`; docs/DD.md § 2) Devices — `/data/blueprints/devices/*.json`; docs/DD.md § 3) Cultivation Methods — `/data/blueprints/cultivationMethods/*.json` ] (docs/_final/03-domain-model.md)
docs/_final/04-simulation-lifecycle.md,Full Document,kept,Retained; thematically categorized,curated/data-schema.md,"Simulation Lifecycle [ # Source: docs/system/simulation-engine.md § Timebase & Core Loop (fixed-step, scheduler-agnostic); docs/system/simulation-engine.md § Environment Model (per Zone; well-mixed, delta-based); docs/system/simulation-engine.md § Plant Growth, Stress, Health (per Planting/Plant); docs/system/simulation-engine.md § Tasks & Agentic Employees (utility-based; overtime-aware); docs/system/simulation-engine.md § Economics (currency-neutral) ] (docs/_final/04-simulation-lifecycle.md)"
docs/_final/05-math-formulas-overview.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,Math Formulas Overview [ # Source: docs/_extraction/formulas.md § Extracted Formulas ] (docs/_final/05-math-formulas-overview.md)
docs/_final/06-devices-and-effects.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,"Devices and Effects [ # Source: docs/system/simulation-engine.md § Environment Model (per Zone; well-mixed, delta-based); docs/DD.md § 2) Devices — `/data/blueprints/devices/*.json`; docs/backend-overview.md § 3.2 Blueprint–to–Subsystem Mapping ] (docs/_final/06-devices-and-effects.md)"
docs/_final/07-economy-and-costs.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,Economy and Costs [ # Source: docs/vision_scope.md § 6. Progression & Economy; docs/vision_scope.md § 6a. Quality Grades & Price Functions; docs/system/simulation-engine.md § Economics (currency-neutral); docs/system/simulation_philosophy.md § 5. Economic Model: Constant Pressure and Rewarding Mastery ] (docs/_final/07-economy-and-costs.md)
docs/_final/08-data-and-blueprints.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,Data and Blueprints [ # Source: docs/backend-overview.md § 3. Blueprints Provided & How to Use Them; docs/system/data-validation.md § Blueprint Data Validation Workflow; docs/DD.md § Conventions (apply to all files) ] (docs/_final/08-data-and-blueprints.md)
docs/_final/09-telemetry-and-ui-views.md,Full Document,kept,Retained; thematically categorized,curated/data-schema.md,Telemetry and UI Views [ # Source: docs/system/socket_protocol.md § UI Stream (`uiStream$`); docs/system/socket_protocol.md § Connection & Handshake; docs/ui-building_guide.md § Guiding Principles; docs/ui-building_guide.md § Layout & Navigation; docs/ui-building_guide.md § Dashboard & Global Chrome ] (docs/_final/09-telemetry-and-ui-views.md)
docs/_final/10-assumptions-constraints.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,Assumptions and Constraints [ # Source: docs/vision_scope.md § 3. Success Criteria; docs/vision_scope.md § 12. Non-Functional Requirements (NFR); docs/vision_scope.md § 15. Risks & Assumptions; docs/vision_scope.md § 16. Binding Rules & Technical Guardrails (Coding‑Ready) ] (docs/_final/10-assumptions-constraints.md)
docs/_final/11-open-questions.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,Open Questions [ # Source: docs/vision_scope.md § 3. Success Criteria; docs/vision_scope.md § 4. Canonical Domain Model; docs/vision_scope.md § 8. Content & Data Strategy; docs/vision_scope.md § 13. Legal & Ethics ] (docs/_final/11-open-questions.md)
docs/_final/12-provenance-index.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,"Provenance Index [ # Source: docs/vision_scope.md § 1. Vision; docs/backend-overview.md § 3. Blueprints Provided & How to Use Them; docs/system/simulation-engine.md § Timebase & Core Loop (fixed-step, scheduler-agnostic); docs/_extraction/formulas.md § Extracted Formulas; docs/system/socket_protocol.md § UI Stream (`uiStream$`); docs/ui-building_guide.md § Guiding Principles; docs/system/data-validation.md § Blueprint Data Validation Workflow; docs/DD.md § Conventions (apply to all files); docs/system/simulation_philosophy.md § 1. Time & Simulation Loop: Stability and Fairness ] (docs/_final/12-provenance-index.md)"
docs/_inventory/outline.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,Documentation Outline (docs/_inventory/outline.md)
docs/addendum/all-json.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,"﻿# All JSON configurations file, currently available in `/data` (docs/addendum/all-json.md)"
docs/addendum/ideas/breeding_module.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,Weed Breed — Breeding Module (TS + Pseudocode) (docs/addendum/ideas/breeding_module.md)
docs/addendum/ideas/kief_dsl.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,"KIEF DSL — High‑Level Integration (Monorepo, `data/kief`, Pseudocode‑Only) (docs/addendum/ideas/kief_dsl.md)"
docs/addendum/ideas/room-purpose-registry.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,Room Purpose Registry (docs/addendum/ideas/room-purpose-registry.md)
docs/addendum/ideas/terpenes.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,Terpene & Effects — High‑Level Concepts for Strain Blueprints (Augmented) (docs/addendum/ideas/terpenes.md)
docs/addendum/migrations/2025-01-22-typescript-toolchain.md,Full Document,kept,Retained; thematically categorized,curated/ui.md,Migration — Backend TypeScript Toolchain (docs/addendum/migrations/2025-01-22-typescript-toolchain.md)
docs/backend-overview.md,Full Document,kept,Retained; thematically categorized,curated/vision.md,Backend Overview (docs/backend-overview.md)
docs/constants/balance.md,Full Document,kept,Retained; thematically categorized,curated/simulation-loop.md,Game Balance Constants (docs/constants/balance.md)
docs/constants/environment.md,Full Document,kept,Retained; thematically categorized,curated/simulation-loop.md,Environmental Simulation Constants (docs/constants/environment.md)
docs/constants/health.md,Full Document,kept,Retained; thematically categorized,curated/simulation-loop.md,Plant Health Constants (docs/constants/health.md)
docs/constants/physiology.md,Full Document,kept,Retained; thematically categorized,curated/simulation-loop.md,Plant Physiology Constants (docs/constants/physiology.md)
docs/constants/plants.md,Full Document,kept,Retained; thematically categorized,curated/data-schema.md,Plant Growth Defaults (docs/constants/plants.md)
docs/constants/time.md,Full Document,kept,Retained; thematically categorized,curated/simulation-loop.md,Timekeeping Defaults (docs/constants/time.md)
docs/constants/world.md,Full Document,kept,Retained; thematically categorized,curated/simulation-loop.md,World Defaults (docs/constants/world.md)
docs/contradictions.md,Full Document,kept,Retained; thematically categorized,curated/simulation-loop.md,User-provided custom instructions (docs/contradictions.md)
